timestamp	schemaVersion	decisionKind	admissionVerdict	admissionReasonCodes	route	decisionReasonCodes	classification	requestId	sessionId	actualModel	targetModel	matchStatus	classificationBasis	matchDeltaMs	sessionFile	originalPrompt	assistantText	toolCalls	toolResults
2026-07-10T21:53:06.813Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:09.059Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:11.605Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:13.966Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:15.845Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:19.150Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:23.199Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:25.787Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:28.862Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:31.081Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
